Sample	File	RL10_ECOLI	RL11_ECOLI	RL13_ECOLI	RL14_ECOLI	RL15_ECOLI	RL16_ECOLI	RL17_ECOLI	RL18_ECOLI	RL19_ECOLI	RL1_ECOLI	RL20_ECOLI	RL21_ECOLI	RL22_ECOLI	RL23_ECOLI	RL24_ECOLI	RL25_ECOLI	RL27_ECOLI	RL28_ECOLI	RL29_ECOLI	RL2_ECOLI	RL30_ECOLI	RL31_ECOLI	RL32_ECOLI	RL33_ECOLI	RL34_ECOLI	RL35_ECOLI	RL36_ECOLI	RL3_ECOLI	RL4_ECOLI	RL5_ECOLI	RL6_ECOLI	RL7_ECOLI	RL9_ECOLI
Restrictive_2	FG-SW-24	0.01372408	0.076557333	0.064939621	0.039902887	0.053630457	0.012476151	0.528370295	0.046278039	0.046988541	0.060520052	0.066164778	0.060894242	0.064787519	0.135744803	0.072698989	0.026934026	0.037840974	0.009193332	0.062019488	0.052781031	0.030133432	0.067367922	0.024759059	0.041986365	0.072179559	0.02027696	0.013199638	0.06741867	0.083429315	0.042467029	0.018031172	0.02574818	0.020439086
Restrictive_3	FG-SW-25	0.019106966	0.095555238	0.066612204	0.051653039	0.068491536	0.011376927	0.53864192	0.048313333	0.073536454	0.069414829	0.077512571	0.084239974	0.102573224	0.182225564	0.110709539	0.028990023	0.025321952	0.015481776	0.073839075	0.064500432	0.031007413	0.067679197	0.036735041	0.036013921	0.100017518	0.014634268	0.017319521	0.08850575	0.089423636	0.050961074	0.02672776	0.030985445	0.026572986
Restrictive_4	FG-SW-26	0.024672463	0.122580861	0.073610486	0.061531904	0.084090272	0.019816105	0.520027292	0.055641415	0.083443752	0.084188513	0.084290384	0.093190579	0.102558948	0.127546794	0.098132422	0.029178379	0.037972551	0.026103175	0.090790721	0.068756261	0.047452745	0.082134281	0.046052435	0.060818757	0.140732727	0.016322259	0.030556145	0.096708331	0.099711413	0.06054349	0.035600002	0.033753882	0.036395819
Restrictive_5	FG-SW-27	0.037058836	0.152251875	0.108315001	0.098889259	0.118584607	0.023336978	0.672184357	0.086136088	0.103684157	0.12198433	0.119785545	0.130762669	0.124724934	0.12564581	0.139549424	0.055844119	0.054607805	0.048983265	0.127907302	0.105274845	0.06925046	0.091121306	0.075540811	0.055728839	0.138905863	0.017920719	0.022040151	0.140622545	0.141483027	0.090576591	0.060845784	0.060159369	0.066853903
Restrictive_6	FG-SW-28	0.068810178	0.283849409	0.193945815	0.187991043	0.205491609	0.050225607	0.91980884	0.186284698	0.18861965	0.207474233	0.200223775	0.211503288	0.206588986	0.24236165	0.216328413	0.094627328	0.100164854	0.124783297	0.224658814	0.200871456	0.164473415	0.171755753	0.153312202	0.101382756	0.185927907	0.041681137	0.063188569	0.232258321	0.251936887	0.163131934	0.10076834	0.104888353	0.15444621
Restrictive_7	FG-SW-29	0.218239104	0.732803361	0.436326191	0.462718116	0.463167476	0.27002717	1.465764806	0.408853144	0.374833929	0.520018347	0.442734759	0.447884363	0.446228479	0.483908463	0.513356044	0.363532389	0.395716104	0.377584335	0.502778578	0.4932125	0.536538286	0.386969545	0.355655432	0.295219775	0.389264221	0.240394168	0.323837145	0.518600547	0.582906028	0.381958716	0.317635646	0.322009185	0.45450954
Restrictive_8	FG-SW-30	0.320161936	0.968743704	0.544112295	0.573167823	0.592816684	0.429574522	1.61612645	0.582308946	0.544598657	0.639329869	0.54674441	0.543180215	0.528664599	0.448524201	0.641863422	0.527018114	0.533996721	0.524875333	0.679724361	0.599217024	0.785539547	0.494983995	0.51883863	0.480350805	0.435811435	0.404182512	0.490961582	0.672934591	0.686584716	0.497167332	0.548152007	0.478089519	0.593308377
Restrictive_9	FG-SW-31	0.229377421	0.737445153	0.387206742	0.416618386	0.419552484	0.34406068	1.13685209	0.394074854	0.398953777	0.442803505	0.369675727	0.403485721	0.387271458	0.32293547	0.455203033	0.371127012	0.344599785	0.387150426	0.492265989	0.44215429	0.602826219	0.352676034	0.375386051	0.393251113	0.336328715	0.315170413	0.273778164	0.490806854	0.496710744	0.354243296	0.361252786	0.349141484	0.430470006
Restrictive_10	FG-SW-32	0.159068309	0.51657463	0.271164003	0.289502882	0.285870586	0.254083177	0.770544924	0.280697497	0.256875754	0.317751495	0.264486349	0.264879087	0.264043686	0.248435319	0.301833288	0.249449665	0.294954845	0.264568594	0.306570392	0.301531403	0.404058308	0.255927657	0.251924897	0.292725955	0.269513638	0.23706883	0.237497069	0.326473531	0.329818252	0.242508587	0.237437262	0.239877405	0.300231401
Restrictive_11	FG-SW-33	0.184031722	0.543398211	0.277245211	0.300594425	0.30853291	0.256046503	0.794417964	0.264545993	0.298946474	0.340352034	0.282316479	0.282312141	0.275075909	0.250693772	0.327329668	0.289496653	0.287369663	0.288475797	0.352496885	0.318895869	0.430587092	0.275172651	0.224979613	0.257027419	0.227851992	0.251888136	0.23721053	0.345763834	0.359887284	0.256885927	0.263505728	0.288604086	0.3108374
Restrictive_12	FG-SW-34	0.274824312	0.803029108	0.40368699	0.420971107	0.434787722	0.401563855	0.917515291	0.421683348	0.406544796	0.475954227	0.39901413	0.402493124	0.389599907	0.363017334	0.472901284	0.430334406	0.421437478	0.42509411	0.483544335	0.448613984	0.640845838	0.42491037	0.364893533	0.373233123	0.343560578	0.377366407	0.457022128	0.488356133	0.525863558	0.371586889	0.412932344	0.419685145	0.451602753
Restrictive_13	FG-SW-35	0.5413956	1.587613805	0.78908928	0.808190838	0.788525748	0.776915085	1.440612535	0.870955388	0.805554278	0.924830444	0.745283299	0.765003996	0.750600263	0.666176623	0.927816143	0.893489786	0.855114284	0.777605267	0.984704062	0.920346769	1.196059899	0.934989873	0.697757786	0.742735296	0.633719706	0.737530789	0.706505536	0.875934995	0.979131007	0.728104716	0.792234244	0.954841713	0.890834353
Restrictive_14	FG-SW-36	0.598864753	1.561853263	0.812769911	0.806870733	0.787163983	0.794108052	1.276013189	0.914522978	0.906323042	0.916628665	0.832203642	0.746366299	0.795072364	0.82682982	0.943233827	0.906880794	0.888499125	0.797001936	1.023088639	0.86839614	1.16558255	0.93613933	0.740448971	0.738578202	0.644628683	0.749235269	0.856308014	0.873241266	0.97846928	0.70444695	0.854704764	0.942991147	0.886226335
Restrictive_15	FG-SW-37	0.541624275	1.485122469	0.709691691	0.721934107	0.721272862	0.713553908	1.010570738	0.784814238	0.754625974	0.803425509	0.739212658	0.693593755	0.677013087	0.777304039	0.856499152	0.734042403	0.743407111	0.707299033	0.919421394	0.804558681	1.050387675	0.817443008	0.623132393	0.597581543	0.552779395	0.663525406	0.677916547	0.798359929	0.880214853	0.666971883	0.716901675	0.831908815	0.775955866
Restrictive_16	FG-SW-38	0.481093716	1.23766747	0.619122478	0.648512346	0.61744176	0.605998775	0.810052222	0.683431247	0.601544946	0.709909106	0.639453661	0.616278806	0.614530399	0.625645319	0.68065109	0.661107816	0.628864059	0.623079179	0.810356909	0.660325974	0.919475207	0.712498538	0.562101248	0.540216166	0.45719154	0.570098174	0.708027483	0.669325543	0.782133322	0.575733209	0.62985618	0.722425927	0.661966189
Restrictive_17	FG-SW-39	0.367510116	0.924085422	0.461729801	0.474938865	0.482614448	0.419014368	0.564462752	0.518393366	0.468721003	0.532468449	0.486670658	0.465068999	0.468061007	0.440485569	0.539334346	0.454576525	0.492087391	0.470347283	0.575958193	0.51377912	0.685093019	0.543055664	0.393572829	0.399059556	0.43813163	0.433273052	0.529540939	0.540107484	0.554053954	0.434929461	0.497300972	0.513959038	0.491596149
Restrictive_18	FG-SW-40	0.255939488	0.597680071	0.320347233	0.329666137	0.307052345	0.355454054	0.380318265	0.359727198	0.329739098	0.356211588	0.349532688	0.316748623	0.344382529	0.361912322	0.378735721	0.384113872	0.320410541	0.330512988	0.416312014	0.352179772	0.681211732	0.38359845	0.280728642	0.261142658	0.229272724	0.298448328	0.260116738	0.371124061	0.406975453	0.290447416	0.323786256	0.354740752	0.347283036
Restrictive_19	FG-SW-41	0.174560849	0.432324407	0.211884343	0.217222037	0.229233428	0.181270777	0.26436258	0.214229371	0.227561704	0.237363591	0.236568556	0.224252006	0.207714913	0.234211822	0.278079774	0.243993676	0.226521891	0.225053948	0.277027859	0.240705518	0.329033034	0.246975423	0.185624521	0.164008005	0.222407581	0.199973833	0.161055939	0.239701144	0.272977709	0.208678488	0.205968342	0.234654507	0.229420459
